" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" token expiration	 ",negative
" so that explain doesn t leak tmp tables	 ",negative
" if  exception is not nodeexists rethrow it	 ",negative
" determine  query qualifies reduce input size for limit  query only qualifies when re are only one top operator  re is no transformer or udtf  no block sampling is used	 ",negative
" finishes inside	 ",negative
" n write chunk bytes	 ",negative
" dropfunction	 ",negative
" number of buckets	 ",negative
" we re hijacking  big table evaluators an replace m with our own custom ones	 ",negative
" not allowed in wo tx	 ",negative
" if we re supporting dynamic service discovery we ll add  service uri for this hiveserver instance to zookeeper asznode	 ",negative
" fill in colname	 ",negative
" take what all input formats support  eliminate any of m not enabled by  hive variable 	 ",negative
" we always want to read all  delete delta files	 ",negative
" init input object inspectors	 ",negative
" how many blocks of this size comprise an arena	 ",negative
" reset buffer	 ",negative
" if  loaded hash table is empty for some conditions we can skip processing  big table rows	 ",negative
" serialize work	 ",negative
" fill  temp list before merging to sparse map	 ",negative
" null byte start	 ",negative
"  serde part is from testlazysimpleserde	 ",negative
" at this point hinted semijoin case has been hled already check if big table is big enough that runtime filtering is	 ",negative
" not in always allow but always return true because later subq remove rule will generate diff plan for this case	 ",negative
" rowid also found 	 ",negative
" this assumes no splitting	 ",negative
" translate window spec	 ",negative
" nonjavadoc see javasqlstatement getresultsetconcurrency 	 ",negative
" get length word	 ",negative
" true if same value repeats for whole column vector if so vector holds  repeating value 	 ",negative
" default tokenstore is memorytokenstore	 ",negative
" fetch table alias	 ",negative
" retrieve not null constraints	 ",negative
" set output collector for any reduce sink operators in  pipeline	 ",negative
" preserve  old behavior of failing when we cannot write even wo deletedata  even if  table is external that might not make any sense	 ",negative
" considerquery like select count from select key count from select mapjoina akey as key avalue as val bvalue as val from tbljoin tbl b on akey bkey subq group by key subq  table alias should be subq subqwhich needs to be fetched from topops 	 ",negative
" but if snapshot is not valid we recompile  query	 ",negative
" using init instead of this because  new hcatreplicationtaskiteratornotificationfilter is an operation that needs to run before delegating to  or ctor  this messes up chaining ctors	 ",negative
" add fsd so that  loadtask compilation could fix up its path to avoid  move	 ",negative
" map from tablename to task columnstatstask which includesbasicstatstask	 ",negative
" reset to correct http path	 ",negative
" for  following method	 ",negative
" this can change based on new splits	 ",negative
" dfs 	 ",negative
" proceed if ast contains partition if not exists	 ",negative
" vertices elapsed time s contains footersummary progressedpercentage startime	 ",negative
"  below loop may perform bad when  destination file already exists  it has too many copy files as welldesired approach was to call listfiles  getcomplete list of files from  destination  check wher  file exists or not on that list however millions of files could live on  destination directory  on concurrent situations this can cause oom problems i ll leave  below loop for now untilbetter approach is found 	 ",negative
" replimports are replaceinto unless  event is insertinto	 ",negative
" hive date is representable as pig datetime	 ",negative
" so table t  t will exist  partition india will exist rest failed as operation failed	 ",negative
" in tests	 ",negative
" use threads to resolve directories into splits	 ",negative
" process groupby pattern	 ",negative
" must be called under  epic lock	 ",negative
" call open to read data split mockmocktable 	 ",negative
" if we are doing an update ordelete  number of columns in  table will not match  number of columns in  file sink for update re will be one too many because of  row id  in  case of  delete re will be just  row id which we don t need to worry about fromlineage perspective	 ",negative
" print  results	 ",negative
" we don t allow turning on auto parallel once it has been explicitly turned off that is to avoid scenarios where auto parallelism could break assumptions about number of reducers or hash function	 ",negative
